	genename	num_cds_snp	num_genic_snp	num_nonsyn_snp
419	CA11g15700	1	1	1
420	CA03g32970	0	10	0
421	CA12g04030	3	7	3
422	CA12g01000	0	2	0
423	CA03g34720	0	9	0
424	CA09g02720	3	3	2
425	CA07g00780	4	4	2
426	CA07g16950	1	1	1
427	CA03g24150	1	1	1
428	CA08g15190	2	18	0
429	CA07g00870	13	13	7
430	CA06g01280	9	55	3
431	CA08g11850	0	14	0
432	CA11g01160	0	7	0
433	CA03g29050	6	26	1
434	CA02g21050	1	1	1
435	CA04g20510	8	11	8
436	CA02g22500	0	2	0
437	CA02g25730	2	7	2
438	CA01g33930	1	6	0
439	CA07g02430	8	12	5
440	CA09g08390	9	9	9
441	CA12g00350	0	10	0
442	CA11g19700	2	2	0
443	CA02g08230	3	10	3
444	CA10g20500	1	1	0
445	CA11g10660	1	1	1
446	CA02g01510	1	1	1
447	CA01g33790	0	1	0
448	CA02g12550	9	9	8
449	CA10g17780	1	1	1
450	CA02g15680	1	2	0
451	CA02g28660	1	1	1
452	CA09g06560	19	37	16
453	CA11g18960	3	15	1
454	CA05g17850	9	38	3
455	CA11g14940	3	3	2
456	CA05g15980	1	12	0
457	CA11g18070	1	3	1
458	CA03g01040	8	15	5
459	CA01g24170	1	2	0
460	CA02g02160	0	17	0
461	CA08g01310	2	2	1
462	CA12g06140	5	5	4
463	CA03g00790	3	13	2
464	CA03g04270	0	21	0
465	CA02g23360	4	13	4
466	CA12g20300	1	24	1
467	CA01g00500	0	1	0
468	CA04g15880	1	1	1
469	CA12g03930	8	48	7
470	CA12g03070	2	17	2
471	CA04g19280	1	1	0
472	CA09g01720	2	2	2
473	CA03g36810	0	1	0
474	CA10g15380	1	3	0
475	CA04g17760	7	7	5
476	CA09g05030	3	7	3
477	CA02g06980	3	9	3
478	CA01g30350	6	53	2
479	CA02g18150	4	8	3
480	CA06g27990	2	25	1
481	CA06g22740	1	1	0
482	CA08g15940	1	1	1
483	CA06g28460	1	2	1
484	CA10g15520	3	15	1
485	CA05g19530	0	4	0
486	CA12g14610	5	5	4
487	CA04g18150	1	2	1
488	CA06g19640	0	3	0
489	CA04g14860	2	10	2
490	CA04g00500	3	29	3
491	CA03g30410	0	1	0
492	CA09g07760	1	1	1
493	CA10g02120	10	10	8
494	CA09g03860	0	1	0
495	CA09g08210	1	2	1
496	CA04g11330	1	1	0
497	CA09g04070	3	3	2
498	CA02g16640	1	1	1
499	CA02g12940	0	1	0
500	CA09g08680	2	6	2
501	CA05g17070	11	53	7
502	CA06g21100	4	23	1
503	CA03g06100	1	1	1
504	CA02g00440	0	1	0
505	CA12g21490	1	1	1
506	CA03g12550	0	1	0
507	CA03g02680	2	2	0
508	CA01g14040	6	6	6
509	CA12g18610	0	1	0
510	CA07g00350	15	28	12
511	CA03g12080	1	1	0
512	CA12g15050	2	5	0
513	CA07g19990	1	3	1
514	CA03g03880	0	2	0
515	CA01g00970	5	8	3
516	CA04g05020	4	6	2
517	CA06g15570	4	46	1
518	CA03g26130	2	2	1
519	CA02g27100	2	2	1
520	CA02g18970	1	1	1
521	CA07g01250	0	2	0
522	CA03g19460	2	2	2
523	CA01g08610	1	3	1
524	CA11g20020	13	13	7
525	CA08g18730	0	3	0
526	CA06g25900	4	8	3
527	CA06g14190	2	28	1
528	CA08g00160	1	8	1
529	CA11g12010	2	9	2
530	CA09g14110	2	2	1
531	CA03g21670	1	1	0
532	CA03g17070	5	5	2
533	CA10g18180	0	14	0
534	CA06g02670	1	5	1
535	CA06g17550	1	1	1
536	CA07g18220	1	3	0
537	CA04g03070	0	3	0
538	CA05g01920	2	13	1
539	CA02g31220	0	6	0
540	CA08g06640	0	1	0
541	CA01g24960	0	4	0
542	CA04g08330	1	1	1
543	CA01g28190	0	3	0
544	CA12g01240	11	13	9
545	CA04g08960	0	2	0
546	CA01g12070	1	1	1
547	CA06g03100	3	13	1
548	CA06g04730	1	1	1
549	CA06g16680	0	1	0
550	CA04g07310	0	4	0
551	CA01g22770	10	60	6
552	CA03g29210	1	1	1
553	CA04g20750	1	1	1
554	CA03g24420	6	26	4
555	CA04g08800	0	1	0
556	CA01g28220	3	5	1
557	CA06g09970	1	1	0
558	CA03g33530	0	1	0
559	CA01g26100	4	4	3
560	CA01g32680	2	9	1
561	CA07g04990	0	1	0
562	CA09g14940	0	44	0
563	CA05g14610	2	2	2
564	CA04g01000	5	27	3
565	CA02g25240	2	7	2
566	CA10g07640	2	2	1
567	CA08g11650	2	2	1
568	CA01g21450	0	1	0
569	CA05g05820	4	5	2
570	CA12g07350	1	4	0
571	CA05g01110	0	4	0
572	CA05g04190	1	1	1
573	CA11g13000	2	3	0
574	CA02g25860	3	3	2
575	CA12g03500	9	9	6
576	CA02g11830	6	6	5
577	CA07g13900	3	3	1
578	CA10g06590	1	5	1
579	CA01g30590	1	1	0
580	CA12g02450	4	4	4
581	CA03g21880	1	1	0
582	CA05g00240	1	3	1
583	CA05g16500	0	1	0
584	CA05g19730	0	1	0
585	CA11g12350	1	1	1
586	CA03g10580	1	1	0
587	CA01g03860	1	1	1
588	CA09g04190	2	2	1
589	CA03g09820	3	3	2
590	CA09g08820	5	5	4
591	CA12g01900	3	3	3
592	CA03g10050	0	4	0
593	CA04g03330	1	1	1
594	CA09g09740	3	3	0
595	CA03g34390	3	3	1
596	CA06g22830	1	5	0
597	CA04g23140	0	1	0
598	CA02g24380	4	8	4
599	CA02g07300	1	2	1
600	CA06g00360	5	6	4
601	CA08g15540	1	1	1
602	CA04g15290	2	2	2
603	CA10g04850	5	5	4
604	CA03g35440	4	17	2
605	CA02g04760	2	13	0
606	CA11g14590	1	17	1
607	CA04g14650	0	1	0
608	CA10g21060	0	1	0
609	CA02g00070	2	2	2
610	CA07g02570	0	11	0
611	CA04g13920	0	5	0
612	CA08g04060	1	1	1
613	CA02g08680	0	1	0
614	CA04g09610	0	1	0
615	CA01g25100	1	1	1
616	CA10g17710	2	3	0
617	CA02g22710	1	4	0
618	CA12g07450	1	1	1
619	CA01g01570	0	14	0
620	CA11g19510	14	78	8
621	CA10g10830	2	2	2
622	CA10g17820	1	4	0
623	CA11g17020	4	4	3
624	CA10g20330	2	2	1
625	CA06g27070	1	3	0
626	CA03g09000	1	26	0
627	CA02g01300	2	2	2
628	CA04g16720	1	1	1
629	CA04g06200	1	1	1
630	CA05g11140	8	8	6
631	CA03g36130	0	3	0
632	CA09g00370	1	1	1
633	CA02g06820	7	7	7
634	CA01g11890	4	4	3
635	CA02g11310	0	2	0
636	CA07g14690	3	3	1
637	CA03g04400	5	5	3
638	CA03g00180	2	2	2
639	CA09g01680	1	15	1
640	CA04g19120	6	6	2
641	CA03g08750	1	1	1
642	CA03g14230	1	1	1
643	CA04g18830	1	11	1
644	CA09g17950	0	1	0
645	CA03g06800	4	41	2
646	CA07g20300	1	1	1
647	CA10g11870	1	18	0
648	CA12g18380	1	2	1
649	CA06g15350	7	7	3
650	CA04g12720	1	1	1
651	CA01g03320	5	7	3
652	CA09g00080	0	1	0
653	CA04g05790	2	4	2
654	CA01g05440	1	2	0
655	CA01g02490	0	35	0
656	CA06g25320	0	3	0
657	CA03g07170	2	3	1
658	CA04g12890	4	4	2
659	CA02g03860	2	2	1
660	CA10g12990	3	3	2
661	CA01g02140	3	16	2
662	CA06g12520	2	2	2
663	CA12g04450	1	1	1
664	CA04g10490	3	8	3
665	CA04g09980	1	1	1
666	CA11g06270	4	4	4
667	CA12g18170	2	16	1
668	CA06g14400	0	2	0
669	CA01g14940	3	3	3
670	CA03g12380	5	5	4
671	CA11g18580	2	2	2
672	CA06g18180	1	1	0
673	CA09g16700	0	5	0
674	CA01g06860	0	1	0
675	CA12g22390	1	1	1
676	CA03g18670	1	1	1
677	CA12g20880	1	1	0
678	CA04g04540	10	10	5
679	CA05g09100	1	1	1
680	CA12g22020	1	3	1
681	CA05g08270	0	3	0
682	CA02g26460	1	1	0
683	CA03g02490	2	2	1
684	CA09g14630	2	59	1
685	CA12g18400	0	5	0
686	CA06g15430	9	9	6
687	CA09g15940	3	3	1
688	CA03g04890	2	5	2
689	CA06g13170	1	5	1
690	CA10g13800	3	3	2
691	CA03g22510	2	2	0
692	CA12g16710	1	1	0
693	CA01g19670	0	4	0
694	CA10g21500	1	7	1
695	CA07g01590	1	12	0
696	CA03g13740	8	10	6
697	CA01g11460	1	1	1
698	CA03g01910	0	1	0
699	CA09g02900	4	4	2
700	CA03g20910	0	1	0
701	CA10g09190	2	2	1
702	CA03g19230	1	1	0
703	CA03g15960	1	10	0
704	CA06g12290	1	1	0
705	CA09g14090	4	4	4
706	CA05g07230	2	2	1
707	CA06g11440	3	7	3
708	CA06g07320	1	1	1
709	CA04g03130	6	6	6
710	CA10g11400	1	1	0
711	CA02g13980	2	2	1
712	CA03g07810	0	1	0
713	CA10g18130	5	5	2
714	CA07g18410	3	3	3
715	CA11g05530	2	21	1
716	CA03g25630	0	1	0
717	CA03g36420	1	1	1
718	CA11g15350	7	7	7
719	CA03g24320	3	13	3
720	CA06g04670	4	4	0
721	CA02g24410	5	10	2
722	CA03g21160	6	9	6
723	CA06g16490	1	2	1
724	CA09g11040	1	1	1
725	CA01g27460	1	1	1
726	CA05g15860	0	1	0
727	CA12g07780	1	1	1
728	CA03g22980	6	70	3
729	CA06g00770	21	24	16
730	CA12g00780	0	5	0
731	CA04g21830	5	47	3
732	CA02g26810	0	1	0
733	CA11g06280	2	2	2
734	CA05g18920	4	4	2
735	CA01g20600	0	1	0
736	CA10g01170	0	2	0
737	CA10g04520	9	19	6
738	CA06g22200	7	7	4
739	CA06g02950	0	1	0
740	CA12g00430	3	3	3
741	CA05g02670	9	9	7
742	CA03g18880	6	9	6
743	CA11g13900	1	8	1
744	CA05g04780	4	4	4
745	CA03g33090	0	1	0
746	CA03g31460	0	1	0
747	CA02g23280	1	1	1
748	CA05g14400	0	1	0
749	CA06g01420	12	37	7
750	CA04g01210	4	6	3
751	CA05g01090	3	50	3
752	CA11g19060	0	1	0
753	CA05g11570	1	1	1
754	CA12g06490	1	1	1
755	CA10g15770	2	6	2
756	CA11g02980	1	5	0
757	CA06g19850	0	1	0
758	CA12g02550	0	2	0
759	CA11g19990	5	16	5
760	CA03g31930	1	1	0
761	CA09g02800	0	1	0
762	CA03g34210	0	12	0
763	CA02g16210	4	4	2
764	CA05g16710	1	1	0
765	CA03g08340	5	5	3
766	CA10g00010	1	1	1
767	CA10g12820	1	77	0
768	CA02g22900	0	6	0
769	CA02g08830	6	6	6
770	CA10g03600	6	9	4
771	CA08g16110	0	4	0
772	CA06g27650	3	3	3
773	CA10g05600	1	1	0
774	CA01g02300	0	1	0
775	CA08g12120	1	17	1
776	CA04g15480	1	1	1
777	CA12g00840	0	2	0
778	CA10g16450	3	6	1
779	CA03g31060	0	1	0
780	CA07g16640	1	1	1
781	CA06g01780	5	5	4
782	CA02g12240	9	10	6
783	CA02g19290	8	8	5
784	CA07g03010	3	3	3
785	CA04g14280	1	1	1
786	CA02g28990	19	34	11
787	CA04g20820	0	3	0
788	CA12g16150	3	3	2
789	CA08g08120	1	4	0
790	CA11g02080	0	1	0
791	CA08g14400	0	2	0
792	CA02g17990	1	1	1
793	CA06g26260	8	14	7
794	CA04g17390	1	3	1
795	CA09g05400	2	2	0
796	CA02g02640	11	19	9
797	CA02g09690	0	2	0
798	CA01g00210	2	2	0
799	CA04g05960	1	1	1
800	CA04g13770	1	1	0
801	CA07g12010	2	2	1
802	CA07g17060	2	8	2
803	CA02g11290	0	1	0
804	CA12g17280	0	2	0
805	CA08g09650	2	2	0
806	CA09g04750	1	1	1
807	CA05g07780	1	1	0
808	CA07g14080	4	14	4
809	CA03g01420	1	2	1
810	CA12g12100	0	2	0
811	CA08g18400	0	4	0
812	CA10g20160	1	6	0
813	CA10g14140	0	6	0
814	CA03g09630	2	6	1
815	CA04g06430	1	1	1
816	CA09g00120	0	2	0
817	CA07g15680	7	22	5
818	CA04g00870	3	13	1
819	CA07g00160	7	32	4
820	CA10g09010	3	3	1
821	CA01g03170	0	2	0
822	CA01g09150	4	21	4
823	CA02g10650	1	3	0
824	CA07g15350	6	8	5
825	CA03g04610	1	2	1
826	CA10g15230	1	10	0
827	CA04g00290	3	13	1
828	CA01g19850	2	2	0
829	CA03g16330	5	6	3
830	CA09g07470	0	5	0
831	CA01g23710	0	10	0
832	CA09g15350	0	3	0
833	CA03g03060	1	3	1
834	CA02g18060	0	10	0
835	CA09g11260	5	5	3
836	CA03g24870	1	1	1
837	CA04g00120	3	3	3
838	CA01g19580	8	81	1
839	CA01g14750	6	6	2
840	CA01g05630	0	2	0
841	CA02g16550	0	1	0
842	CA04g10510	1	13	0
843	CA06g25510	6	37	3
844	CA03g03390	0	1	0
845	CA04g06980	1	6	1
846	CA01g20970	1	11	1
847	CA05g04540	2	8	1
848	CA11g10920	2	2	0
849	CA06g09210	0	1	0
850	CA05g00430	2	3	1
851	CA03g03930	5	5	3
852	CA04g01450	0	1	0
853	CA09g16110	9	9	9
854	CA01g10270	4	7	3
855	CA06g11960	2	4	0
856	CA03g21960	11	24	5
857	CA03g05570	2	3	0
858	CA01g11580	2	2	2
859	CA06g16990	1	6	0
860	CA02g26340	0	2	0
861	CA01g21080	6	7	6
862	CA07g06630	3	25	3
863	CA01g10180	2	2	2
864	CA10g01750	1	1	1
865	CA11g08060	1	23	0
866	CA08g17200	1	1	1
867	CA02g26690	3	3	3
868	CA04g03580	0	109	0
869	CA01g09980	1	4	1
870	CA06g03510	1	1	1
871	CA07g20490	1	1	0
872	CA11g18800	1	10	0
873	CA06g12200	2	2	2
874	CA01g15930	0	1	0
875	CA02g15580	2	2	1
876	CA01g19000	2	2	1
877	CA07g01360	0	1	0
878	CA03g34050	1	1	1
879	CA06g00150	2	2	2
880	CA03g10810	1	1	1
881	CA07g11130	0	1	0
882	CA03g20700	0	1	0
883	CA09g08660	2	4	2
884	CA02g27560	3	3	3
885	CA07g00700	1	1	1
886	CA11g01470	1	1	1
887	CA11g12430	1	2	0
888	CA03g25280	0	2	0
889	CA07g04460	0	1	0
890	CA08g13450	1	1	1
891	CA06g02740	5	5	4
892	CA10g02820	2	2	0
893	CA04g22990	1	1	0
894	CA08g15110	0	1	0
895	CA02g30370	1	1	1
896	CA01g18840	3	37	2
897	CA06g01200	2	2	1
898	CA09g03720	3	5	3
899	CA02g20030	2	2	0
900	CA12g01080	1	1	1
901	CA01g01320	2	5	2
902	CA06g04350	7	9	5
903	CA02g12000	2	8	2
904	CA03g35010	0	8	0
905	CA09g03740	2	2	1
906	CA07g02700	2	2	2
907	CA05g18880	6	6	4
908	CA08g14240	2	2	1
909	CA11g14490	4	28	1
910	CA03g28360	0	7	0
911	CA08g11140	4	7	1
912	CA06g05000	1	15	1
913	CA10g05880	1	1	1
914	CA05g05330	13	13	9
915	CA09g17190	3	14	2
916	CA06g06260	1	7	1
917	CA06g00630	2	2	1
918	CA08g10890	2	19	0
919	CA03g36540	6	18	4
920	CA04g15800	1	1	1
921	CA12g04600	1	1	1
922	CA11g03010	1	1	1
923	CA01g34560	0	1	0
924	CA10g10240	1	1	1
925	CA07g12560	3	4	3
926	CA04g21640	0	1	0
927	CA05g02730	43	75	26
928	CA02g23670	5	10	2
