	genename	annotation
49	CA02g02060	PREDICTED: leucine-rich repeat-containing protein 40-like [Solanum lycopersicum]
50	CA02g05550	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
51	CA02g05560	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
52	CA02g07380	PREDICTED: probable leucine-rich repeat receptor-like protein kinase At5g49770-like [Solanum tuberosum]
53	CA02g07450	Putative leucine-rich repeat resistance protein, identical
54	CA02g07840	PREDICTED: putative F-box/LRR-repeat protein At5g02700-like [Solanum tuberosum]
55	CA02g09120	Leucine-rich repeat protein, putative
56	CA02g09820	PREDICTED: LRR receptor-like serine/threonine-protein kinase RPK2-like [Glycine max]
57	CA02g09900	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
58	CA02g09930	Putative leucine-rich repeat resistance protein, identical
59	CA02g10000	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
60	CA02g10020	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
61	CA02g10040	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum lycopersicum]
62	CA02g10060	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum lycopersicum]
63	CA02g10070	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
64	CA02g10080	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
65	CA02g10090	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
66	CA02g10680	PREDICTED: putative F-box/LRR-repeat protein 23-like [Solanum tuberosum]
67	CA02g10720	Nbs-lrr resistance protein
68	CA02g10730	Nbs-lrr resistance protein
69	CA02g10750	NBS-coding resistance gene analog (Fragment)
70	CA02g11830	Nbs-lrr resistance protein
71	CA02g11860	Nbs-lrr resistance protein
72	CA02g11870	Nbs-lrr resistance protein
73	CA02g12010	PREDICTED: LRR receptor-like serine/threonine-protein kinase FLS2-like [Solanum tuberosum]
74	CA02g12020	PREDICTED: LRR receptor-like serine/threonine-protein kinase FLS2-like [Solanum lycopersicum]
75	CA02g12030	PREDICTED: LRR receptor-like serine/threonine-protein kinase FLS2-like [Solanum tuberosum]
76	CA02g12910	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
77	CA02g12920	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like isoform X2 [Solanum tuberosum]
78	CA02g13090	Leucine-rich repeat family protein / protein kinase family protein
79	CA02g13110	Leucine-rich repeat family protein / protein kinase family protein
80	CA02g13130	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At1g07650-like [Solanum tuberosum]
81	CA02g13140	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At1g07650-like [Solanum tuberosum]
82	CA02g13150	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At1g07650-like [Solanum tuberosum]
83	CA02g13160	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At1g07650-like [Solanum tuberosum]
84	CA02g13180	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase RFK1-like [Solanum tuberosum]
85	CA02g13550	Putative leucine-rich repeat family protein
86	CA02g13620	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At5g45780-like isoform X1 [Solanum tuberosum]
87	CA02g13670	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
88	CA02g13680	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
89	CA02g13690	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
90	CA02g13700	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
91	CA02g13720	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
92	CA02g13730	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
93	CA02g13740	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO2-like [Solanum tuberosum]
94	CA02g13750	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
95	CA02g15510	Leucine-rich repeat receptor-like protein kinase (Fragment)
96	CA02g16690	PREDICTED: putative F-box/LRR-repeat protein At3g18150-like [Vitis vinifera]
97	CA02g16700	PREDICTED: putative F-box/LRR-repeat protein At3g18150-like [Vitis vinifera]
98	CA02g16710	PREDICTED: putative F-box/LRR-repeat protein At3g18150-like [Solanum tuberosum]
99	CA02g16720	PREDICTED: putative F-box/LRR-repeat protein At3g18150-like [Vitis vinifera]
100	CA02g16740	PREDICTED: putative F-box/LRR-repeat protein At3g18150-like [Vitis vinifera]
101	CA02g19460	PREDICTED: F-box/FBD/LRR-repeat protein At1g13570-like [Solanum tuberosum]
102	CA02g21230	Leucine-rich repeat-containing protein, putative
103	CA02g25340	PREDICTED: F-box/LRR-repeat protein At5g02910-like isoform X1 [Solanum tuberosum]
104	CA02g30020	F-box/LRR-repeat protein, putative
105	CA02g30660	Leucine-rich repeat protein, putative
106	CA03g00200	Tir-nbs-lrr resistance protein (Fragment)
107	CA03g00250	Tir-nbs-lrr resistance protein (Fragment)
108	CA03g00260	Tir-nbs-lrr resistance protein (Fragment)
109	CA03g00310	F-box/LRR-repeat protein
110	CA03g00700	TIR-NBS-LRR disease resistance-like protein
111	CA03g00710	Tir-nbs-lrr resistance protein (Fragment)
112	CA03g00730	Tir-nbs-lrr resistance protein (Fragment)
113	CA03g01770	PREDICTED: putative F-box/LRR-repeat protein At5g02700-like [Solanum lycopersicum]
114	CA03g01780	PREDICTED: putative F-box/LRR-repeat protein At5g02700-like [Solanum tuberosum]
115	CA03g01830	PREDICTED: putative F-box/LRR-repeat protein At5g02700-like [Solanum tuberosum]
116	CA03g01850	PREDICTED: putative F-box/LRR-repeat protein At5g02700-like [Solanum lycopersicum]
117	CA03g02230	PREDICTED: putative F-box/LRR-repeat protein At5g02700-like [Solanum lycopersicum]
118	CA03g02450	Cc-nbs-lrr resistance protein
119	CA03g02460	NBS resistance protein
120	CA03g02480	Putative CC-NBS-LRR resistance protein
121	CA03g02490	NBS resistance protein
122	CA03g02500	NBS-LRR resistance protein RGH1
123	CA03g02510	NBS resistance protein
124	CA03g03410	Cc-nbs-lrr resistance protein
125	CA03g03420	Putative CC-NBS-LRR resistance protein
126	CA03g03440	Cc-nbs-lrr resistance protein
127	CA03g03460	NBS-LRR resistance protein RGH1
128	CA03g03480	Putative CC-NBS-LRR resistance protein
129	CA03g03510	NBS-LRR resistance protein RGH2
130	CA03g04340	Putative CC-NBS-LRR resistance protein
131	CA03g04420	PREDICTED: MATH and LRR domain-containing protein PFE0570w-like [Solanum tuberosum]
132	CA03g04510	Putative CC-NBS-LRR protein
133	CA03g04520	NBS-coding resistance protein (Fragment)
134	CA03g04600	Putative CC-NBS-LRR resistance protein
135	CA03g04630	Leucine-rich repeat containing protein, putative
136	CA03g05740	PREDICTED: probable leucine-rich repeat receptor-like protein kinase At1g35710-like [Solanum tuberosum]
137	CA03g06600	F-box/LRR-repeat protein
138	CA03g08820	PREDICTED: LRR receptor-like serine/threonine-protein kinase ERL1-like [Solanum lycopersicum]
139	CA03g09160	F-box/LRR-repeat protein
140	CA03g09230	CC-NBS-LRR type resistance protein (Fragment)
141	CA03g09240	CC-NBS-LRR type resistance protein (Fragment)
142	CA03g12280	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At5g10290-like [Solanum lycopersicum]
143	CA03g15770	PREDICTED: leucine-rich repeat receptor-like protein kinase TDR-like [Vitis vinifera]
144	CA03g16340	Leucine-rich repeat receptor protein kinase exs, putative
145	CA03g17140	Leucine-rich repeat protein kinase
146	CA03g19980	Putative CC-NBS-LRR resistance protein
147	CA03g21460	PREDICTED: leucine-rich repeat receptor-like protein kinase PEPR1 [Vitis vinifera]
148	CA03g29480	Leucine-rich repeat family protein isoform 1 [Theobroma cacao]
149	CA03g29650	Brassinosteroid LRR receptor kinase, putative
150	CA03g32320	F-box/LRR-repeat protein, putative
151	CA03g32330	F-box/LRR-repeat protein
152	CA03g34010	PREDICTED: F-box/LRR-repeat protein At3g03360-like [Solanum tuberosum]
153	CA03g36840	Leucine-rich repeat receptor protein kinase EXS, putative
154	CA04g00840	PREDICTED: putative F-box/FBD/LRR-repeat protein At4g13965-like [Solanum tuberosum]
155	CA04g00920	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
156	CA04g00940	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO2-like [Solanum tuberosum]
157	CA04g00950	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO2-like [Solanum tuberosum]
158	CA04g00970	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO1-like [Solanum lycopersicum]
159	CA04g01010	PREDICTED: LRR receptor-like serine/threonine-protein kinase EFR-like [Solanum lycopersicum]
160	CA04g01020	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO1-like [Solanum lycopersicum]
161	CA04g01040	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
162	CA04g01050	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
163	CA04g01100	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At1g53430-like isoform X1 [Solanum tuberosum]
164	CA04g01180	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At1g53430-like isoform X1 [Solanum tuberosum]
165	CA04g01200	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At1g53440-like isoform X6 [Setaria italica]
166	CA04g01230	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At1g07650-like [Solanum lycopersicum]
167	CA04g01290	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
168	CA04g01630	Leucine-rich repeat receptor-like protein kinase
169	CA04g01750	NB-LRR type disease resistance protein
170	CA04g01840	F-box/FBD/LRR-repeat protein
171	CA04g01850	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum lycopersicum]
172	CA04g01860	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum lycopersicum]
173	CA04g01880	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO1-like [Solanum lycopersicum]
174	CA04g01890	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
175	CA04g01900	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
176	CA04g01910	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum lycopersicum]
177	CA04g01920	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
178	CA04g01930	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
179	CA04g01940	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
180	CA04g01950	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum lycopersicum]
181	CA04g01960	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO1-like [Solanum lycopersicum]
182	CA04g01970	PREDICTED: LRR receptor-like serine/threonine-protein kinase EFR-like [Solanum lycopersicum]
183	CA04g01980	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
184	CA04g01990	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
185	CA04g02020	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
186	CA04g02030	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
187	CA04g02040	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO2-like [Solanum tuberosum]
188	CA04g02050	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO1-like [Solanum lycopersicum]
189	CA04g02060	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
190	CA04g02080	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
191	CA04g02090	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
192	CA04g02100	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
193	CA04g02120	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
194	CA04g02130	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
195	CA04g02140	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO1-like [Solanum lycopersicum]
196	CA04g02160	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO2-like [Solanum tuberosum]
197	CA04g02170	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO1-like [Solanum lycopersicum]
198	CA04g02180	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum lycopersicum]
199	CA04g02190	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
200	CA04g02200	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
201	CA04g02220	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO1-like [Solanum lycopersicum]
202	CA04g02250	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
203	CA04g02270	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO1-like [Solanum lycopersicum]
204	CA04g02280	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
205	CA04g02290	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
206	CA04g02300	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
207	CA04g02310	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
208	CA04g02350	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
209	CA04g02560	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At1g56130-like [Solanum lycopersicum]
210	CA04g02830	TIR-NBS type disease resistance protein
211	CA04g02910	Cc-nbs-lrr resistance protein, putative isoform 1 [Theobroma cacao]
212	CA04g02930	LRR and NB-ARC domains-containing disease resistance protein, putative isoform 1 [Theobroma cacao]
213	CA04g03480	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At1g53440-like [Vitis vinifera]
214	CA04g03660	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO2-like [Solanum tuberosum]
215	CA04g03670	PREDICTED: LRR receptor-like serine/threonine-protein kinase EFR-like [Solanum tuberosum]
216	CA04g03730	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum lycopersicum]
217	CA04g03770	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
218	CA04g03780	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
219	CA04g03790	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
220	CA04g03820	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO1-like [Solanum lycopersicum]
221	CA04g03840	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like, partial [Solanum tuberosum]
222	CA04g03870	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
223	CA04g03880	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
224	CA04g03890	Leucine-rich repeat receptor protein kinase EXS, putative
225	CA04g03900	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
226	CA04g03910	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum lycopersicum]
227	CA04g03920	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
228	CA04g03960	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
229	CA04g03970	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO1-like [Solanum lycopersicum]
230	CA04g04320	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO1-like [Solanum lycopersicum]
231	CA04g04340	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
232	CA04g04350	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO2-like [Solanum tuberosum]
233	CA04g04360	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum lycopersicum]
234	CA04g04370	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
235	CA04g04380	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
236	CA04g04390	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
237	CA04g04400	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
238	CA04g04410	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
239	CA04g04420	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO1-like [Solanum lycopersicum]
240	CA04g04430	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum lycopersicum]
241	CA04g04460	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum lycopersicum]
242	CA04g04470	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
243	CA04g04540	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO2-like [Solanum tuberosum]
244	CA04g04560	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
245	CA04g04580	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
246	CA04g04590	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
247	CA04g04600	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum lycopersicum]
248	CA04g04610	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO1-like [Solanum lycopersicum]
249	CA04g04620	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
250	CA04g04630	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
251	CA04g04640	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
252	CA04g04650	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At1g34110-like [Solanum tuberosum]
253	CA04g04660	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
254	CA04g04750	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
255	CA04g04800	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO1-like [Solanum lycopersicum]
256	CA04g04820	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
257	CA04g04830	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
258	CA04g04840	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum lycopersicum]
259	CA04g04850	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO2-like [Solanum tuberosum]
260	CA04g04860	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
261	CA04g04870	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
262	CA04g04930	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum lycopersicum]
263	CA04g04940	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum lycopersicum]
264	CA04g04960	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum lycopersicum]
265	CA04g04970	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
266	CA04g04990	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO1-like [Solanum lycopersicum]
267	CA04g05000	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
268	CA04g05010	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
269	CA04g05030	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
270	CA04g05040	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
271	CA04g05060	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum lycopersicum]
272	CA04g05070	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO2-like [Solanum tuberosum]
273	CA04g05080	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum lycopersicum]
274	CA04g05100	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
275	CA04g05110	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO1-like [Solanum lycopersicum]
276	CA04g05120	PREDICTED: LRR receptor-like serine/threonine-protein kinase EFR-like [Solanum lycopersicum]
277	CA04g05130	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
278	CA04g05140	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
279	CA04g05600	CC-NBS-LRR type resistance-like protein
280	CA04g05620	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO2-like [Solanum tuberosum]
281	CA04g06160	PREDICTED: acidic leucine-rich nuclear phosphoprotein 32-related protein-like [Glycine max]
282	CA04g06200	Leucine-rich repeat protein, putative
283	CA04g06290	NBS-coding resistance gene analog (Fragment)
284	CA04g06900	PREDICTED: LRR receptor-like serine/threonine-protein kinase GSO1-like [Solanum lycopersicum]
285	CA04g08850	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At4g08850-like [Solanum tuberosum]
286	CA04g08860	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At4g08850-like [Solanum lycopersicum]
287	CA04g08870	PREDICTED: probable leucine-rich repeat receptor-like protein kinase At1g35710-like [Solanum tuberosum]
288	CA04g09070	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At4g08850-like [Solanum lycopersicum]
289	CA04g09080	LRR-GTPase of the ROCO family
290	CA04g09600	PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At4g37250-like [Glycine max]
291	CA04g11590	PREDICTED: leucine-rich repeat receptor-like tyrosine-protein kinase At2g41820-like [Solanum tuberosum]
292	CA04g11610	PREDICTED: leucine-rich repeat receptor-like tyrosine-protein kinase At2g41820-like [Solanum tuberosum]
293	CA04g13320	TIR-NBS-LRR RCT1 resistance protein (Fragment)
